ANDREWS,ANDREWS SA 5454
APPILA,APPILA SA 5480
BEETALOO VALLEY,BEETALOO VALLEY SA 5523
BELALIE EAST,BELALIE EAST SA 5491
BELALIE NORTH,BELALIE NORTH SA 5491
BROUGHTON RIVER VALLEY,BROUGHTON RIVER VALLEY SA 5454
BUNDALEER GARDENS,BUNDALEER GARDENS SA 5491
BUNDALEER NORTH,BUNDALEER NORTH SA 5491
CALTOWIE,CALTOWIE SA 5490
CALTOWIE NORTH,CALTOWIE NORTH SA 5490
CALTOWIE WEST,CALTOWIE WEST SA 5490
CANOWIE BELT,CANOWIE BELT SA 5420
EUROMINA,EUROMINA SA 5454
GEORGETOWN,GEORGETOWN SA 5472
GLADSTONE,GLADSTONE SA 5473
GULNARE,GULNARE SA 5471
HACKLINS CORNER,HACKLINS CORNER SA 5454
HORNSDALE,HORNSDALE SA 5491
HUDDLESTON,HUDDLESTON SA 5523
JAMESTOWN,JAMESTOWN SA 5491
LAURA,LAURA SA 5480
MANNANARIE,MANNANARIE SA 5422
MAYFIELD,MAYFIELD SA 5454
NARRIDY,NARRIDY SA 5523
SPALDING,SPALDING SA 5454
STONE HUT,STONE HUT SA 5480
TARCOWIE,TARCOWIE SA 5431
WASHPOOL,WASHPOOL SA 5454
WEST BUNDALEER,WEST BUNDALEER SA 5491
YACKA,YACKA SA 5470
YATINA,YATINA SA 5422
